time,susceptible,exposed,infected,hospitalized,recovered
0,1000,0.0,50.0,13.0,30
1,995,3.317058030384207,51.98669330795061,12.906737265131934,35
2,990,8.181405146348636,53.8941834230865,12.632747685671118,40
3,985,14.717759983880265,55.646424733950354,12.195066606621463,45
4,980,21.513604990615857,57.17356090899523,11.620906917604419,50
5,975,26.917848549326276,58.414709848078964,10.945967087185807,55
6,970,30.55883099639785,59.32039085967226,10.212211605003109,60
7,965,33.686026802562424,59.8544972998846,9.465261833051525,65
8,960,38.021283506753235,59.99573603041505,8.751559490358574,70
9,955,44.17576302951649,59.738476308781955,8.115479131831783,75
10,950,51.08804222177874,59.09297426825682,7.596569153359199,80
11,945,56.999980413101405,58.0849640381959,7.227092864102609,85
12,940,61.07314583600087,56.75463180551151,7.0300225101986635,90
13,935,64.15966592634672,55.15501371821464,7.017610971758361,95
14,930,68.01878528861026,53.349881501559054,7.190629938127611,100
15,925,73.69942431968576,51.411200080598675,7.538321927981318,105
16,920,80.57580663333013,49.4162585657242,8.039069137409165,110
17,915,86.92279498375912,47.44458897973169,8.661737530258621,115
18,910,91.50197449354336,45.574795567051474,9.36761260170766,120
19,905,94.70024558067409,43.881421090572815,10.112806458663929,125
20,900,98.17410949854474,42.43197504692072,10.850986556389678,130
21,895,103.32668872292788,41.284242275864116,11.536256431725523,135
22,890,110.01770261858081,40.483979261104835,12.12600932287378,140
23,885,116.69244080835034,40.063089963665355,12.583577251484563,145
24,880,121.81115672401324,40.03835391164159,12.880510859951098,150
25,875,125.26470350019555,40.410757253368615,12.998348254673498,155
26,870,128.4748830990408,41.165453442798466,12.929762877184071,160
27,865,133.087248143191,42.272355124440125,12.679019034067231,165
28,860,139.45818842338426,43.687333621276785,12.261706763029913,170
29,855,146.32726776842594,45.353978205862425,11.703772519866085,175
30,850,151.9760632481857,47.20584501801074,11.039905953505077,180
31,845,155.80807529064614,49.16910597182503,10.311383071657758,185
32,840,158.8971466375166,51.16549204850494,9.56349989857416,190
33,835,163.00017627978548,53.11541363513378,8.842756187643335,195
34,830,168.94183462775996,54.941133511386084,8.193964291945528,200
35,825,175.8563653389923,56.56986598718789,7.657462949182753,205
36,820,181.98355770688624,57.93667863849153,7.266609214345969,210
37,815,186.287076266714,58.987080958116266,7.0457044795980295,215
38,810,189.40726284258122,59.67919672031486,7.008483531410865,220
39,805,193.07240922743182,59.98543345374605,7.15726058806602,225
40,800,198.5097736790413,59.893582466233816,7.482785412770642,230
41,795,205.31724533760942,59.40730556679773,7.964818448578464,235
42,790,211.83304309583127,58.545989080882805,8.573389216012023,240
43,785,216.6635494852572,57.34397097874113,9.27065973231691,245
44,780,219.96459614978917,55.84917192891761,10.013277093964152,250
45,775,223.29819295093176,54.121184852417564,10.755068950215263,255
46,770,228.1964233047024,52.22889914100248,11.449914276259017,260
47,765,234.75285375450954,50.247754254533575,12.054610955150661,265
48,760,241.53650932264733,48.256732187770204,12.531561876197475,270
49,755,246.90750530551895,46.33520870748072,12.85111254120302,275
50,750,250.52474970740786,44.5597888911063,12.993394837535742,280
51,745,253.65954164831325,43.001253124064576,12.949562341142775,285
52,740,258.026744815919,41.72173530914346,12.722340344350588,290
53,735,264.20814969963635,40.77224578387193,12.325856410387864,295
54,730,271.11757809770324,40.190637699335085,11.784761989929676,300
55,725,276.9995103467172,40.00009793449296,11.13269971329188,305
56,720,281.0431020041738,40.20822270848683,10.4102116546235,310
57,715,284.12767048950434,40.80671474335324,9.662218622098493,315
58,710,288.01425470383094,41.77171405031291,8.935227199633886,320
59,705,293.7265239857217,43.06474915222878,8.274438192752791,325
60,700,300.6096212422044,44.63427081999565,7.720936261423536,330
61,695,306.9322355400168,46.41770717763171,7.309135474893133,335
62,690,311.4783613932984,48.34395824551691,7.064639611543347,340
63,685,314.6652885993944,50.33623047221137,7.002650239960798,345
64,680,318.1599479236064,52.31509825101539,7.127021559029846,350
65,675,323.3463426410198,54.201670368266406,7.4300207625134735,355
66,670,330.0531023080479,55.92073514707223,7.8928088274918595,360
67,665,336.7110399579506,57.40375889952449,8.486611833562216,365
68,660,341.7958553613786,58.59161814856496,9.174509985845209,370
69,655,345.2295696275664,59.43695669444105,9.913733109012439,375
70,650,348.4522186368842,59.906073556948705,10.658319889634377,380
71,645,353.09789069349125,59.98026652716362,11.361975528039421,385
72,640,359.49235327447593,59.65657776549277,11.98095012473224,390
73,635,366.3535439137746,58.94791172140504,12.476758837245217,395
74,630,371.9702925209365,57.88252067375316,12.818574681244769,400
75,625,375.77556327081885,56.50287840157117,12.985145203109136,405
76,620,378.86778472620364,54.863986888537994,12.966113854560007,410
77,615,383.0009596828385,53.03118356745702,12.762663912673329,415
78,610,388.9720430880249,51.07753652299444,12.387444909441832,420
79,605,395.888225337415,49.080931497723185,11.863786145142745,425
